#   Z    A  M_ej/M_sun
   63  161   1.466e-10
   63  162   9.699e-12
   63  163   8.578e-13
   63  164   6.626e-15
   64  152   7.839e-10
   64  153   9.600e-13
   64  154   5.157e-11
   64  155   1.093e-12
   64  156   2.037e-10
   64  157   3.891e-12
   64  158   7.667e-12
   64  159   1.490e-10
   64  160   1.217e-09
   64  161   8.802e-10
   64  162   1.296e-09
   64  163   4.368e-10
   64  164   2.429e-10
   64  165   3.032e-12
   64  166   1.152e-14
   64  167   2.548e-14
   65  153   1.013e-10
   65  154   3.447e-14
   65  155   5.760e-10
   65  156   4.453e-12
   65  157   6.224e-10
   65  158   1.235e-12
   65  159   2.120e-10
   65  160   4.257e-12
   65  161   1.793e-10
   65  162   1.217e-10
   65  163   5.475e-10
   65  164   4.488e-10
   65  165   3.291e-10
   65  166   6.192e-11
   65  167   1.906e-11
   65  168   3.328e-13
   65  169   2.209e-15
   65  171   1.542e-17
   66  154   1.017e-07
   66  155   3.882e-10
   66  156   2.500e-10
   66  157   3.426e-11
   66  158   1.374e-10
   66  159   7.268e-12
   66  160   4.692e-10
   66  161   7.103e-12
   66  162   6.794e-11
   66  163   1.799e-11
   66  164   9.889e-11
   66  165   1.449e-10
   66  166   4.577e-10
   66  167   2.098e-10
   66  168   1.911e-10
   66  169   6.887e-11
   66  170   9.506e-11
   66  171   2.420e-14
   66  172   1.230e-13
   67  155   1.102e-08
   67  156   7.615e-12
   67  157   4.101e-11
   67  158   7.960e-13
   67  159   7.157e-11
   67  160   8.210e-13
   67  161   1.210e-10
   67  162   1.121e-13
   67  163   1.408e-10
   67  164   2.724e-12
   67  165   1.803e-10
   67  166   7.429e-13
   67  167   1.725e-10
   67  168   1.711e-11
   67  169   2.240e-10
   67  170   1.065e-10
   67  171   4.560e-11
   67  172   1.943e-11
   67  173   2.272e-11
   67  174   1.424e-15
   67  175   2.313e-16
   68  160   2.061e-10
   68  161   2.623e-12
   68  162   5.005e-11
   68  163   2.487e-12
   68  164   8.315e-11
   68  165   2.261e-12
   68  166   2.188e-10
   68  167   1.968e-12
   68  168   2.131e-11
   68  169   3.498e-11
   68  170   2.945e-11
   68  171   7.884e-11
   68  172   1.747e-10
   68  173   1.439e-10
   68  174   4.873e-11
   68  175   2.270e-11
   68  176   6.518e-12
   68  177   9.814e-13
   68  178   2.359e-15
   69  161   2.913e-11
   69  162   1.044e-13
   69  163   3.115e-11
   69  164   1.880e-13
   69  165   1.128e-10
   69  166   1.503e-12
   69  167   1.344e-10
   69  168   9.935e-12
   69  169   9.329e-11
   69  170   3.092e-12
   69  171   2.067e-11
   69  172   1.195e-13
   69  173   1.330e-10
   69  174   1.690e-11
   69  175   6.759e-11
   69  176   4.059e-11
   69  177   6.375e-11
   69  178   1.375e-12
   69  179   3.188e-14
   69  180   1.126e-17
   70  166   1.806e-10
   70  167   1.513e-12
   70  168   9.915e-11
   70  169   1.341e-12
   70  170   5.490e-11
   70  171   1.671e-12
   70  172   7.745e-12
   70  173   3.041e-13
   70  174   2.549e-11
   70  175   4.391e-12
   70  176   2.696e-11
   70  177   1.014e-10
   70  178   2.044e-10
   70  179   3.996e-11
   70  180   3.609e-11
   70  181   3.671e-11
   70  182   2.296e-13
   70  183   5.062e-16
   70  184   4.437e-17
   71  167   3.302e-11
   71  168   2.699e-13
   71  169   6.074e-12
   71  170   6.640e-15
   71  171   1.167e-10
   71  172   4.109e-13
   71  173   1.110e-10
   71  174   6.060e-13
   71  175   3.228e-11
   71  176   1.566e-13
   71  177   2.064e-12
   71  178   2.656e-12
   71  179   1.560e-10
   71  180   1.810e-11
   71  181   1.150e-10
   71  182   1.514e-11
   71  183   4.581e-12
   71  184   1.093e-12
   71  185   1.214e-13
   71  186   4.105e-16
   72  174   1.890e-10
   72  175   8.645e-13
   72  176   5.890e-11
   72  177   2.430e-12
   72  178   2.347e-11
   72  179   7.136e-13
   72  180   5.157e-11
   72  181   2.520e-11
   72  182   2.397e-11
   72  183   8.224e-12
   72  184   2.934e-11
   72  185   2.773e-11
   72  186   3.900e-11
   72  187   1.771e-15
   72  188   1.423e-11
   72  189   6.974e-14
   72  190   6.930e-14
   73  175   9.247e-11
   73  176   9.451e-14
   73  177   1.044e-10
   73  178   9.866e-14
   73  179   4.842e-11
   73  180   4.406e-12
   73  181   7.471e-11
   73  182   2.128e-13
   73  183   3.347e-13
   73  184   1.185e-13
   73  185   1.506e-11
   73  186   1.718e-11
   73  187   2.850e-11
   73  188   1.029e-11
   73  189   4.768e-13
   73  190   9.828e-14
   73  191   9.410e-13
   73  193   7.885e-17
   74  178   3.618e-10
   74  179   6.864e-12
   74  180   4.267e-11
   74  181   2.310e-12
   74  182   3.015e-11
   74  183   2.069e-13
   74  184   4.066e-12
   74  185   3.536e-13
   74  186   3.702e-12
   74  187   1.592e-11
   74  188   5.056e-11
   74  189   4.290e-11
   74  190   7.420e-11
   74  191   6.155e-11
   74  192   5.084e-11
